order_ref,order_date,customer_id,origin_name,origin_city,origin_country,dest_city,dest_country,units,weight_kg,mode,product_category,order_value,returned
SO-01224,2025-09-07,C-NAI-009,Dubai DC,Dubai,AE,Nairobi,KE,13,19.88,air,storage,285.17,0
SO-00731,2025-09-08,C-NEW-001,Memphis DC,Memphis,US,New York City,US,8,17.99,road,cases,713.45,0
SO-00981,2025-09-08,C-TOR-005,Memphis DC,Memphis,US,Toronto,CA,7,23.37,road,cases,433.42,0
SO-00069,2025-09-09,C-LON-017,Rotterdam DC,Rotterdam,NL,London,GB,3,9.47,road,wearables,561.11,0
SO-00243,2025-09-09,C-MAD-008,Rotterdam DC,Rotterdam,NL,Madrid,ES,9,17.3,road,cables,962.53,0
SO-01020,2025-09-10,C-MEX-024,Memphis DC,Memphis,US,Mexico City,MX,5,18.65,road,cables,611.54,0
SO-00375,2025-09-12,C-TOK-031,Shenzhen DC,Shenzhen,CN,Tokyo,JP,6,12.75,sea,chargers,708.82,0
SO-00575,2025-09-12,C-JAK-008,Shenzhen DC,Shenzhen,CN,Jakarta,ID,10,31.97,sea,chargers,840.1,1
SO-00641,2025-09-12,C-MUM-015,Shenzhen DC,Shenzhen,CN,Mumbai,IN,7,26.24,sea,cables,671.01,0
SO-00282,2025-09-13,C-MIL-033,Rotterdam DC,Rotterdam,NL,Milan,IT,10,28.46,road,storage,707.43,0
SO-00428,2025-09-13,C-SEO-007,Shenzhen DC,Shenzhen,CN,Seoul,KR,5,17.13,sea,cases,505.9,0
SO-01272,2025-09-13,C-JOH-027,Dubai DC,Dubai,AE,Johannesburg,ZA,7,26.24,sea,wearables,640.73,0
SO-00637,2025-09-14,C-MUM-023,Shenzhen DC,Shenzhen,CN,Mumbai,IN,20,46.12,sea,wearables,654.91,0
SO-01014,2025-09-14,C-MEX-013,Memphis DC,Memphis,US,Mexico City,MX,6,15.43,road,audio,442.71,0
SO-00272,2025-09-15,C-MIL-005,Rotterdam DC,Rotterdam,NL,Milan,IT,1,0.88,road,cables,665.51,0
SO-00351,2025-09-15,C-DUB-009,Rotterdam DC,Rotterdam,NL,Dublin,IE,3,9.12,air,audio,525.4,0
SO-00441,2025-09-15,C-SEO-036,Shenzhen DC,Shenzhen,CN,Seoul,KR,7,22.75,sea,wearables,940.62,0
SO-00718,2025-09-15,C-NEW-026,Memphis DC,Memphis,US,New York City,US,5,19.31,road,wearables,596.77,0
SO-00827,2025-09-15,C-CHI-031,Memphis DC,Memphis,US,Chicago,US,11,27.69,road,cases,652.76,0
SO-01264,2025-09-15,C-JOH-005,Dubai DC,Dubai,AE,Johannesburg,ZA,3,7.52,sea,audio,640.73,0
SO-00021,2025-09-16,C-LON-039,Rotterdam DC,Rotterdam,NL,London,GB,5,21.03,road,cables,645.9,0
SO-00076,2025-09-16,C-BER-027,Rotterdam DC,Rotterdam,NL,Berlin,DE,10,28.91,road,audio,414.83,0
SO-00832,2025-09-16,C-CHI-027,Memphis DC,Memphis,US,Chicago,US,4,10.83,road,storage,655.5,0
SO-01250,2025-09-16,C-JOH-014,Dubai DC,Dubai,AE,Johannesburg,ZA,6,18.25,sea,cables,726.72,0
SO-00249,2025-09-17,C-MIL-002,Rotterdam DC,Rotterdam,NL,Milan,IT,6,16.93,road,storage,1083.01,0
SO-00316,2025-09-17,C-WAR-039,Rotterdam DC,Rotterdam,NL,Warsaw,PL,8,25.7,road,storage,594.92,0
SO-00492,2025-09-17,C-SIN-006,Shenzhen DC,Shenzhen,CN,Singapore,SG,4,11.84,sea,chargers,1174.42,0
SO-00841,2025-09-17,C-CHI-006,Memphis DC,Memphis,US,Chicago,US,3,10.9,road,audio,271.99,1
SO-01007,2025-09-17,C-MEX-014,Memphis DC,Memphis,US,Mexico City,MX,10,21.07,road,storage,417.1,0
SO-01038,2025-09-17,C-SAO-025,Memphis DC,Memphis,US,Sao Paulo,BR,9,19.97,sea,storage,530.29,0
SO-01255,2025-09-17,C-JOH-024,Dubai DC,Dubai,AE,Johannesburg,ZA,5,10.61,sea,audio,1036.07,0
SO-00191,2025-09-18,C-PAR-039,Rotterdam DC,Rotterdam,NL,Paris,FR,7,24.25,road,audio,971.22,0
SO-00222,2025-09-18,C-MAD-039,Rotterdam DC,Rotterdam,NL,Madrid,ES,8,24.24,road,cases,787.93,0
SO-00612,2025-09-18,C-MAN-036,Shenzhen DC,Shenzhen,CN,Manila,PH,1,1.86,sea,cables,547.86,0
SO-00645,2025-09-18,C-MUM-037,Shenzhen DC,Shenzhen,CN,Mumbai,IN,9,26.9,sea,wearables,650.59,0
SO-00467,2025-09-19,C-SEO-007,Shenzhen DC,Shenzhen,CN,Seoul,KR,9,14.04,sea,cases,968.89,0
SO-00475,2025-09-19,C-SIN-037,Shenzhen DC,Shenzhen,CN,Singapore,SG,7,24.54,sea,storage,881.53,0
SO-00632,2025-09-19,C-MUM-039,Shenzhen DC,Shenzhen,CN,Mumbai,IN,12,18.48,sea,cases,971.61,0
SO-01148,2025-09-20,C-RIY-025,Dubai DC,Dubai,AE,Riyadh,SA,9,26.91,road,wearables,1142.18,0
SO-00128,2025-09-21,C-BER-027,Rotterdam DC,Rotterdam,NL,Berlin,DE,3,9.05,road,wearables,1221.99,0
SO-00140,2025-09-21,C-PAR-006,Rotterdam DC,Rotterdam,NL,Paris,FR,4,14.51,road,cables,859.05,0
SO-00676,2025-09-21,C-SYD-004,Rotterdam DC,Rotterdam,NL,Sydney,AU,4,12.36,air,chargers,253.35,0
SO-00790,2025-09-21,C-NEW-034,Memphis DC,Memphis,US,New York City,US,9,26.2,road,cables,975.71,0
SO-00132,2025-09-22,C-BER-021,Rotterdam DC,Rotterdam,NL,Berlin,DE,9,35.51,road,audio,919.32,0
SO-00328,2025-09-22,C-STO-029,Rotterdam DC,Rotterdam,NL,Stockholm,SE,7,14.73,road,storage,607.6,0
SO-00390,2025-09-22,C-TOK-017,Shenzhen DC,Shenzhen,CN,Tokyo,JP,6,17.73,sea,chargers,1016.52,0
SO-00737,2025-09-22,C-NEW-005,Memphis DC,Memphis,US,New York City,US,5,13.66,road,cables,660.63,1
SO-00032,2025-09-23,C-LON-023,Rotterdam DC,Rotterdam,NL,London,GB,7,15.59,road,wearables,571.82,0
SO-00141,2025-09-23,C-PAR-029,Rotterdam DC,Rotterdam,NL,Paris,FR,7,24.02,road,cables,927.54,0
SO-00419,2025-09-23,C-TOK-006,Shenzhen DC,Shenzhen,CN,Tokyo,JP,7,18.32,sea,wearables,1130.21,0
SO-00520,2025-09-23,C-SIN-016,Shenzhen DC,Shenzhen,CN,Singapore,SG,5,11.98,sea,cables,794.06,0
SO-00593,2025-09-23,C-MAN-021,Shenzhen DC,Shenzhen,CN,Manila,PH,7,18.93,sea,wearables,759.17,0
SO-00699,2025-09-23,C-AUC-004,Rotterdam DC,Rotterdam,NL,Auckland,NZ,3,6.74,air,audio,919.41,0
SO-00738,2025-09-23,C-NEW-007,Memphis DC,Memphis,US,New York City,US,4,16.05,road,wearables,759.34,0
SO-01103,2025-09-23,C-BUE-023,Memphis DC,Memphis,US,Buenos Aires,AR,14,25.18,sea,storage,661.65,0
SO-00225,2025-09-24,C-MAD-019,Rotterdam DC,Rotterdam,NL,Madrid,ES,7,25.65,road,cases,1035.39,0
SO-00201,2025-09-25,C-PAR-026,Rotterdam DC,Rotterdam,NL,Paris,FR,7,22.83,road,wearables,729.77,0
SO-00019,2025-09-26,C-LON-011,Rotterdam DC,Rotterdam,NL,London,GB,6,21.38,road,chargers,476.77,0
SO-00483,2025-09-26,C-SIN-002,Shenzhen DC,Shenzhen,CN,Singapore,SG,6,20.02,sea,storage,482.62,0
SO-01091,2025-09-26,C-SAN-039,Memphis DC,Memphis,US,Santiago,CL,4,7.47,sea,audio,514.04,0
SO-00092,2025-09-27,C-BER-037,Rotterdam DC,Rotterdam,NL,Berlin,DE,10,25.98,road,storage,607.81,0
SO-00325,2025-09-27,C-STO-019,Rotterdam DC,Rotterdam,NL,Stockholm,SE,15,26.09,road,storage,676.29,0
SO-00537,2025-09-27,C-BAN-023,Shenzhen DC,Shenzhen,CN,Bangkok,TH,6,21.36,sea,cases,874.18,0
SO-00060,2025-09-28,C-LON-016,Rotterdam DC,Rotterdam,NL,London,GB,11,21.34,road,cables,642.24,0
SO-01223,2025-09-28,C-NAI-009,Dubai DC,Dubai,AE,Nairobi,KE,9,20.08,air,chargers,354.9,1
SO-01094,2025-09-29,C-SAN-001,Memphis DC,Memphis,US,Santiago,CL,14,36.78,sea,wearables,871.59,0
SO-00413,2025-09-30,C-TOK-030,Shenzhen DC,Shenzhen,CN,Tokyo,JP,6,16.92,sea,storage,687.83,0
SO-00533,2025-09-30,C-BAN-027,Shenzhen DC,Shenzhen,CN,Bangkok,TH,5,17.49,sea,wearables,838.39,1
SO-00610,2025-09-30,C-MAN-023,Shenzhen DC,Shenzhen,CN,Manila,PH,8,16.05,sea,storage,605.45,0
SO-00258,2025-10-01,C-MIL-011,Rotterdam DC,Rotterdam,NL,Milan,IT,5,19.54,road,wearables,847.26,0
SO-01063,2025-10-01,C-BOG-023,Memphis DC,Memphis,US,Bogota,CO,8,20.35,air,wearables,668.54,0
SO-00682,2025-10-02,C-SYD-031,Rotterdam DC,Rotterdam,NL,Sydney,AU,13,19.97,air,wearables,1042.33,0
SO-00888,2025-10-02,C-LOS-013,Memphis DC,Memphis,US,Los Angeles,US,3,9.56,road,chargers,690.64,0
SO-00803,2025-10-03,C-NEW-023,Memphis DC,Memphis,US,New York City,US,5,17.98,road,cables,644.22,0
SO-01243,2025-10-03,C-LAG-028,Dubai DC,Dubai,AE,Lagos,NG,6,8.89,air,cases,379.06,1
SO-00014,2025-10-04,C-LON-008,Rotterdam DC,Rotterdam,NL,London,GB,11,21.34,road,audio,670.41,0
SO-00766,2025-10-04,C-NEW-038,Memphis DC,Memphis,US,New York City,US,19,27.22,road,cables,1064.79,0
SO-00967,2025-10-04,C-TOR-038,Memphis DC,Memphis,US,Toronto,CA,7,15.66,road,wearables,337.62,0
SO-00373,2025-10-05,C-TOK-011,Shenzhen DC,Shenzhen,CN,Tokyo,JP,3,7.0,sea,audio,787.38,0
SO-00176,2025-10-06,C-PAR-037,Rotterdam DC,Rotterdam,NL,Paris,FR,10,15.81,road,cables,356.78,0
SO-00449,2025-10-06,C-SEO-019,Shenzhen DC,Shenzhen,CN,Seoul,KR,5,12.4,sea,wearables,881.47,0
SO-00719,2025-10-06,C-NEW-027,Memphis DC,Memphis,US,New York City,US,7,12.76,road,storage,838.39,0
SO-01039,2025-10-06,C-SAO-013,Memphis DC,Memphis,US,Sao Paulo,BR,6,17.15,sea,audio,591.34,0
SO-01124,2025-10-06,C-BUE-013,Memphis DC,Memphis,US,Buenos Aires,AR,20,30.47,sea,cases,444.22,0
SO-01248,2025-10-06,C-LAG-008,Dubai DC,Dubai,AE,Lagos,NG,7,21.85,air,storage,556.54,1
SO-00119,2025-10-07,C-BER-020,Rotterdam DC,Rotterdam,NL,Berlin,DE,19,41.05,road,audio,977.95,0
SO-00314,2025-10-07,C-WAR-026,Rotterdam DC,Rotterdam,NL,Warsaw,PL,11,21.33,road,cases,753.46,0
SO-00474,2025-10-07,C-SIN-013,Shenzhen DC,Shenzhen,CN,Singapore,SG,9,19.71,sea,storage,340.06,0
SO-00505,2025-10-07,C-SIN-033,Shenzhen DC,Shenzhen,CN,Singapore,SG,6,18.25,sea,cases,781.46,0
SO-00863,2025-10-07,C-CHI-008,Memphis DC,Memphis,US,Chicago,US,7,14.51,road,storage,610.58,0
SO-01163,2025-10-07,C-RIY-006,Dubai DC,Dubai,AE,Riyadh,SA,6,15.8,road,cables,940.78,0
SO-01231,2025-10-07,C-LAG-033,Dubai DC,Dubai,AE,Lagos,NG,2,5.71,air,cables,238.45,0
SO-00412,2025-10-08,C-TOK-032,Shenzhen DC,Shenzhen,CN,Tokyo,JP,6,17.38,sea,cables,750.21,0
SO-01282,2025-10-08,C-KAR-014,Dubai DC,Dubai,AE,Karachi,PK,13,26.19,sea,cables,654.55,0
SO-00270,2025-10-09,C-MIL-026,Rotterdam DC,Rotterdam,NL,Milan,IT,16,23.06,road,storage,425.73,0
SO-00301,2025-10-09,C-WAR-033,Rotterdam DC,Rotterdam,NL,Warsaw,PL,6,23.94,road,audio,1041.21,0
SO-00353,2025-10-09,C-DUB-014,Rotterdam DC,Rotterdam,NL,Dublin,IE,4,11.27,air,cables,260.92,0
SO-00945,2025-10-09,C-TOR-024,Memphis DC,Memphis,US,Toronto,CA,5,20.26,road,chargers,726.24,0
SO-01226,2025-10-09,C-LAG-003,Dubai DC,Dubai,AE,Lagos,NG,13,19.64,air,chargers,209.02,0
SO-00568,2025-10-10,C-JAK-037,Shenzhen DC,Shenzhen,CN,Jakarta,ID,11,28.91,sea,cases,594.05,0
SO-01215,2025-10-10,C-NAI-017,Dubai DC,Dubai,AE,Nairobi,KE,5,17.14,air,cables,317.82,0
SO-01233,2025-10-10,C-LAG-012,Dubai DC,Dubai,AE,Lagos,NG,11,23.58,air,cases,310.79,0
SO-01267,2025-10-10,C-JOH-009,Dubai DC,Dubai,AE,Johannesburg,ZA,8,25.14,sea,wearables,88.64,0
SO-00399,2025-10-11,C-TOK-026,Shenzhen DC,Shenzhen,CN,Tokyo,JP,4,13.69,sea,cables,775.68,0
SO-00439,2025-10-11,C-SEO-003,Shenzhen DC,Shenzhen,CN,Seoul,KR,10,20.71,sea,wearables,453.9,0
SO-00461,2025-10-11,C-SEO-039,Shenzhen DC,Shenzhen,CN,Seoul,KR,4,8.35,sea,cases,1086.29,0
SO-00782,2025-10-11,C-NEW-006,Memphis DC,Memphis,US,New York City,US,12,17.87,road,cases,428.92,0
SO-00845,2025-10-11,C-CHI-037,Memphis DC,Memphis,US,Chicago,US,7,14.66,road,cases,736.36,0
SO-00929,2025-10-11,C-LOS-036,Memphis DC,Memphis,US,Los Angeles,US,8,25.83,road,chargers,681.0,1
SO-00979,2025-10-11,C-TOR-015,Memphis DC,Memphis,US,Toronto,CA,3,7.02,road,chargers,687.4,0
SO-01123,2025-10-11,C-BUE-003,Memphis DC,Memphis,US,Buenos Aires,AR,4,11.59,sea,chargers,756.57,0
SO-00445,2025-10-12,C-SEO-039,Shenzhen DC,Shenzhen,CN,Seoul,KR,1,3.6,sea,chargers,634.45,0
SO-00799,2025-10-12,C-NEW-010,Memphis DC,Memphis,US,New York City,US,8,18.38,road,wearables,680.48,0
SO-01070,2025-10-12,C-BOG-004,Memphis DC,Memphis,US,Bogota,CO,11,19.77,air,wearables,671.73,0
SO-00238,2025-10-13,C-MAD-038,Rotterdam DC,Rotterdam,NL,Madrid,ES,13,38.79,road,cables,1019.96,0
SO-00970,2025-10-13,C-TOR-008,Memphis DC,Memphis,US,Toronto,CA,7,10.9,road,wearables,593.18,0
SO-01044,2025-10-13,C-SAO-023,Memphis DC,Memphis,US,Sao Paulo,BR,22,32.07,sea,cables,364.84,0
SO-01090,2025-10-13,C-SAN-030,Memphis DC,Memphis,US,Santiago,CL,11,20.0,sea,wearables,420.69,0
SO-01166,2025-10-13,C-RIY-028,Dubai DC,Dubai,AE,Riyadh,SA,8,23.66,road,storage,730.38,0
SO-00426,2025-10-14,C-TOK-016,Shenzhen DC,Shenzhen,CN,Tokyo,JP,5,18.81,sea,chargers,638.39,0
SO-00603,2025-10-14,C-MAN-003,Shenzhen DC,Shenzhen,CN,Manila,PH,2,6.29,sea,audio,873.57,0
SO-00705,2025-10-14,C-AUC-001,Rotterdam DC,Rotterdam,NL,Auckland,NZ,4,14.85,air,cases,828.93,0
SO-00819,2025-10-14,C-CHI-034,Memphis DC,Memphis,US,Chicago,US,6,20.61,road,wearables,694.1,0
SO-01050,2025-10-14,C-SAO-029,Memphis DC,Memphis,US,Sao Paulo,BR,16,38.83,sea,chargers,276.44,0
SO-01278,2025-10-14,C-KAR-012,Dubai DC,Dubai,AE,Karachi,PK,6,21.4,sea,audio,621.37,0
SO-00221,2025-10-15,C-MAD-022,Rotterdam DC,Rotterdam,NL,Madrid,ES,10,22.13,road,cables,634.08,0
SO-00292,2025-10-15,C-WAR-009,Rotterdam DC,Rotterdam,NL,Warsaw,PL,17,56.34,road,cables,971.85,0
SO-00099,2025-10-16,C-BER-019,Rotterdam DC,Rotterdam,NL,Berlin,DE,13,38.24,road,wearables,872.09,0
SO-00535,2025-10-16,C-BAN-028,Shenzhen DC,Shenzhen,CN,Bangkok,TH,5,12.38,sea,chargers,535.1,0
SO-00965,2025-10-16,C-TOR-019,Memphis DC,Memphis,US,Toronto,CA,5,15.15,road,cases,563.55,0
SO-01162,2025-10-16,C-RIY-034,Dubai DC,Dubai,AE,Riyadh,SA,6,23.44,road,wearables,377.56,0
SO-00451,2025-10-17,C-SEO-035,Shenzhen DC,Shenzhen,CN,Seoul,KR,1,0.5,sea,cases,544.01,0
SO-00502,2025-10-17,C-SIN-037,Shenzhen DC,Shenzhen,CN,Singapore,SG,4,11.81,sea,audio,866.11,0
SO-00681,2025-10-17,C-SYD-025,Rotterdam DC,Rotterdam,NL,Sydney,AU,4,14.3,air,cables,1028.14,0
SO-00823,2025-10-17,C-CHI-034,Memphis DC,Memphis,US,Chicago,US,14,19.76,road,chargers,1039.95,0
SO-00954,2025-10-17,C-TOR-013,Memphis DC,Memphis,US,Toronto,CA,3,9.09,road,wearables,1131.18,0
SO-01188,2025-10-17,C-CAI-036,Dubai DC,Dubai,AE,Cairo,EG,23,35.17,sea,cables,730.82,0
SO-00462,2025-10-18,C-SEO-036,Shenzhen DC,Shenzhen,CN,Seoul,KR,9,20.53,sea,wearables,619.7,0
SO-00889,2025-10-18,C-LOS-022,Memphis DC,Memphis,US,Los Angeles,US,10,24.54,road,cables,221.57,0
SO-00077,2025-10-19,C-BER-003,Rotterdam DC,Rotterdam,NL,Berlin,DE,4,13.1,road,storage,827.94,0
SO-01047,2025-10-19,C-SAO-023,Memphis DC,Memphis,US,Sao Paulo,BR,8,28.44,sea,storage,530.36,0
SO-01089,2025-10-19,C-SAN-023,Memphis DC,Memphis,US,Santiago,CL,3,7.06,sea,audio,833.86,0
SO-00116,2025-10-20,C-BER-030,Rotterdam DC,Rotterdam,NL,Berlin,DE,1,1.49,road,audio,342.69,0
SO-00339,2025-10-20,C-STO-021,Rotterdam DC,Rotterdam,NL,Stockholm,SE,13,20.05,road,cables,1191.91,0
SO-00437,2025-10-20,C-SEO-026,Shenzhen DC,Shenzhen,CN,Seoul,KR,6,20.44,sea,storage,574.43,0
SO-00490,2025-10-20,C-SIN-017,Shenzhen DC,Shenzhen,CN,Singapore,SG,5,11.19,sea,audio,789.06,0
SO-01113,2025-10-21,C-BUE-021,Memphis DC,Memphis,US,Buenos Aires,AR,8,28.07,sea,cables,632.15,0
SO-01211,2025-10-21,C-NAI-036,Dubai DC,Dubai,AE,Nairobi,KE,7,19.1,air,cases,506.46,0
SO-00022,2025-10-22,C-LON-023,Rotterdam DC,Rotterdam,NL,London,GB,9,23.05,road,chargers,505.81,0
SO-00733,2025-10-22,C-NEW-008,Memphis DC,Memphis,US,New York City,US,4,13.17,road,audio,828.48,0
SO-01005,2025-10-22,C-MEX-032,Memphis DC,Memphis,US,Mexico City,MX,10,19.24,road,chargers,362.5,0
SO-01078,2025-10-22,C-BOG-010,Memphis DC,Memphis,US,Bogota,CO,6,23.37,air,chargers,443.15,0
SO-01292,2025-10-22,C-KAR-015,Dubai DC,Dubai,AE,Karachi,PK,9,20.37,sea,storage,401.81,0
SO-00340,2025-10-23,C-STO-015,Rotterdam DC,Rotterdam,NL,Stockholm,SE,4,11.96,road,storage,837.59,0
SO-00344,2025-10-23,C-STO-014,Rotterdam DC,Rotterdam,NL,Stockholm,SE,3,12.2,road,cases,942.42,0
SO-01015,2025-10-23,C-MEX-010,Memphis DC,Memphis,US,Mexico City,MX,14,23.8,road,audio,501.23,0
SO-00006,2025-10-24,C-LON-004,Rotterdam DC,Rotterdam,NL,London,GB,7,19.71,road,cables,650.26,0
SO-00123,2025-10-24,C-BER-015,Rotterdam DC,Rotterdam,NL,Berlin,DE,15,35.76,road,chargers,645.92,0
SO-00812,2025-10-24,C-CHI-027,Memphis DC,Memphis,US,Chicago,US,7,15.57,road,cables,693.57,0
SO-01055,2025-10-24,C-SAO-007,Memphis DC,Memphis,US,Sao Paulo,BR,6,21.38,sea,cases,686.15,0
SO-01071,2025-10-24,C-BOG-007,Memphis DC,Memphis,US,Bogota,CO,7,13.47,air,audio,649.49,1
SO-00506,2025-10-25,C-SIN-009,Shenzhen DC,Shenzhen,CN,Singapore,SG,4,11.83,sea,cases,462.57,0
SO-00604,2025-10-25,C-MAN-010,Shenzhen DC,Shenzhen,CN,Manila,PH,1,4.66,sea,chargers,792.58,0
SO-00100,2025-10-26,C-BER-014,Rotterdam DC,Rotterdam,NL,Berlin,DE,6,18.69,road,wearables,750.99,0
SO-01297,2025-10-26,C-KAR-016,Dubai DC,Dubai,AE,Karachi,PK,4,10.33,sea,wearables,941.97,0
SO-00213,2025-10-27,C-MAD-012,Rotterdam DC,Rotterdam,NL,Madrid,ES,10,22.1,road,cables,720.01,0
SO-00507,2025-10-28,C-SIN-035,Shenzhen DC,Shenzhen,CN,Singapore,SG,2,4.21,sea,wearables,742.8,0
SO-00816,2025-10-28,C-CHI-014,Memphis DC,Memphis,US,Chicago,US,7,10.63,road,cases,776.32,0
SO-00886,2025-10-28,C-LOS-016,Memphis DC,Memphis,US,Los Angeles,US,7,18.6,road,storage,430.81,0
SO-01165,2025-10-28,C-RIY-003,Dubai DC,Dubai,AE,Riyadh,SA,4,12.15,road,cables,500.07,0
SO-01194,2025-10-28,C-CAI-032,Dubai DC,Dubai,AE,Cairo,EG,6,19.34,sea,cases,504.51,0
SO-00055,2025-10-29,C-LON-012,Rotterdam DC,Rotterdam,NL,London,GB,8,23.67,road,cases,512.05,0
SO-00078,2025-10-29,C-BER-036,Rotterdam DC,Rotterdam,NL,Berlin,DE,10,22.36,road,wearables,686.88,0
SO-00163,2025-10-29,C-PAR-014,Rotterdam DC,Rotterdam,NL,Paris,FR,4,5.64,road,wearables,660.44,0
SO-00456,2025-10-29,C-SEO-011,Shenzhen DC,Shenzhen,CN,Seoul,KR,5,15.31,sea,storage,971.94,0
SO-00618,2025-10-29,C-MAN-034,Shenzhen DC,Shenzhen,CN,Manila,PH,8,21.83,sea,cables,930.8,0
SO-00742,2025-10-29,C-NEW-018,Memphis DC,Memphis,US,New York City,US,1,0.5,road,cases,646.44,0
SO-01136,2025-10-29,C-RIY-019,Dubai DC,Dubai,AE,Riyadh,SA,6,19.47,road,cases,866.13,0
SO-00526,2025-10-30,C-BAN-011,Shenzhen DC,Shenzhen,CN,Bangkok,TH,8,20.65,sea,wearables,976.44,0
SO-00764,2025-10-30,C-NEW-015,Memphis DC,Memphis,US,New York City,US,3,10.66,road,storage,513.77,0
SO-00838,2025-10-30,C-CHI-021,Memphis DC,Memphis,US,Chicago,US,9,29.89,road,cases,654.7,0
SO-00937,2025-10-30,C-LOS-005,Memphis DC,Memphis,US,Los Angeles,US,18,29.78,road,storage,548.52,0
SO-01084,2025-10-30,C-SAN-008,Memphis DC,Memphis,US,Santiago,CL,5,20.44,sea,chargers,773.19,0
SO-01253,2025-10-30,C-JOH-018,Dubai DC,Dubai,AE,Johannesburg,ZA,14,39.3,sea,cables,604.82,0
SO-00045,2025-10-31,C-LON-021,Rotterdam DC,Rotterdam,NL,London,GB,3,8.83,road,wearables,343.8,0
SO-00212,2025-10-31,C-MAD-011,Rotterdam DC,Rotterdam,NL,Madrid,ES,6,22.8,road,storage,856.77,0
SO-00725,2025-10-31,C-NEW-005,Memphis DC,Memphis,US,New York City,US,7,23.43,road,chargers,511.88,0
SO-00739,2025-10-31,C-NEW-012,Memphis DC,Memphis,US,New York City,US,6,20.09,road,audio,367.74,0
SO-00532,2025-11-01,C-BAN-016,Shenzhen DC,Shenzhen,CN,Bangkok,TH,6,17.81,sea,chargers,852.67,0
SO-00565,2025-11-01,C-JAK-012,Shenzhen DC,Shenzhen,CN,Jakarta,ID,6,20.45,sea,storage,1037.4,0
SO-00015,2025-11-02,C-LON-008,Rotterdam DC,Rotterdam,NL,London,GB,14,29.02,road,storage,753.35,0
SO-00038,2025-11-02,C-LON-014,Rotterdam DC,Rotterdam,NL,London,GB,6,21.09,road,cables,720.15,0
SO-00177,2025-11-02,C-PAR-033,Rotterdam DC,Rotterdam,NL,Paris,FR,6,18.83,road,wearables,626.02,0
SO-00509,2025-11-02,C-SIN-003,Shenzhen DC,Shenzhen,CN,Singapore,SG,8,25.13,sea,audio,1339.54,0
